edition,country_noc,gold,silver,bronze,total
1996 Summer Olympics,AFG,0,0,0,0
2004 Summer Olympics,AFG,0,0,0,0
2008 Summer Olympics,AFG,0,0,1,1
2012 Summer Olympics,AFG,0,0,1,1
2016 Summer Olympics,AFG,0,0,0,0
2020 Summer Olympics,AFG,0,0,0,0
1996 Summer Olympics,BRU,0,0,0,0
2000 Summer Olympics,BRU,0,0,0,0
2004 Summer Olympics,BRU,0,0,0,0
2012 Summer Olympics,BRU,0,0,0,0
2016 Summer Olympics,BRU,0,0,0,0
2020 Summer Olympics,BRU,0,0,0,0
1996 Summer Olympics,AZE,0,1,0,1
1998 Winter Olympics,AZE,0,0,0,0
2000 Summer Olympics,AZE,2,0,1,3
2002 Winter Olympics,AZE,0,0,0,0
2004 Summer Olympics,AZE,1,0,4,5
2006 Winter Olympics,AZE,0,0,0,0
2008 Summer Olympics,AZE,1,1,4,6
2010 Winter Olympics,AZE,0,0,0,0
2012 Summer Olympics,AZE,2,2,5,9
2014 Winter Olympics,AZE,0,0,0,0
2016 Summer Olympics,AZE,1,7,10,18
2018 Winter Olympics,AZE,0,0,0,0
2020 Summer Olympics,AZE,0,3,4,7
2022 Winter Olympics,AZE,0,0,0,0
1994 Winter Olympics,ARM,0,0,0,0
1996 Summer Olympics,ARM,1,1,0,2
1998 Winter Olympics,ARM,0,0,0,0
2000 Summer Olympics,ARM,0,0,1,1
2002 Winter Olympics,ARM,0,0,0,0
2004 Summer Olympics,ARM,0,0,0,0
2006 Winter Olympics,ARM,0,0,0,0
2008 Summer Olympics,ARM,0,1,4,5
2010 Winter Olympics,ARM,0,0,0,0
2012 Summer Olympics,ARM,0,1,1,2
2014 Winter Olympics,ARM,0,0,0,0
2016 Summer Olympics,ARM,1,3,0,4
2018 Winter Olympics,ARM,0,0,0,0
2020 Summer Olympics,ARM,0,2,2,4
2022 Winter Olympics,ARM,0,0,0,0
1996 Summer Olympics,BDI,1,0,0,1
2000 Summer Olympics,BDI,0,0,0,0
2004 Summer Olympics,BDI,0,0,0,0
2008 Summer Olympics,BDI,0,0,0,0
2012 Summer Olympics,BDI,0,0,0,0
2016 Summer Olympics,BDI,0,1,0,1
2020 Summer Olympics,BDI,0,0,0,0
1980 Summer Olympics,BOT,0,0,0,0
1984 Summer Olympics,BOT,0,0,0,0
1988 Summer Olympics,BOT,0,0,0,0
1992 Summer Olympics,BOT,0,0,0,0
1996 Summer Olympics,BOT,0,0,0,0
2000 Summer Olympics,BOT,0,0,0,0
2004 Summer Olympics,BOT,0,0,0,0
2008 Summer Olympics,BOT,0,0,0,0
2012 Summer Olympics,BOT,0,1,0,1
2016 Summer Olympics,BOT,0,0,0,0
2020 Summer Olympics,BOT,0,0,1,1
1996 Summer Olympics,CPV,0,0,0,0
2000 Summer Olympics,CPV,0,0,0,0
2004 Summer Olympics,CPV,0,0,0,0
2008 Summer Olympics,CPV,0,0,0,0
2012 Summer Olympics,CPV,0,0,0,0
2016 Summer Olympics,CPV,0,0,0,0
2020 Summer Olympics,CPV,0,0,0,0
1984 Summer Olympics,IVB,0,0,0,0
1984 Winter Olympics,IVB,0,0,0,0
1988 Summer Olympics,IVB,0,0,0,0
1992 Summer Olympics,IVB,0,0,0,0
1996 Summer Olympics,IVB,0,0,0,0
2000 Summer Olympics,IVB,0,0,0,0
2004 Summer Olympics,IVB,0,0,0,0
2008 Summer Olympics,IVB,0,0,0,0
2012 Summer Olympics,IVB,0,0,0,0
2014 Winter Olympics,IVB,0,0,0,0
2016 Summer Olympics,IVB,0,0,0,0
2020 Summer Olympics,IVB,0,0,0,0
1972 Summer Olympics,BUR,0,0,0,0
1988 Summer Olympics,BUR,0,0,0,0
1992 Summer Olympics,BUR,0,0,0,0
1996 Summer Olympics,BUR,0,0,0,0
2000 Summer Olympics,BUR,0,0,0,0
2004 Summer Olympics,BUR,0,0,0,0
2008 Summer Olympics,BUR,0,0,0,0
2012 Summer Olympics,BUR,0,0,0,0
2016 Summer Olympics,BUR,0,0,0,0
2020 Summer Olympics,BUR,0,0,1,1
1992 Summer Olympics,BIH,0,0,0,0
1994 Winter Olympics,BIH,0,0,0,0
1996 Summer Olympics,BIH,0,0,0,0
1998 Winter Olympics,BIH,0,0,0,0
2000 Summer Olympics,BIH,0,0,0,0
2002 Winter Olympics,BIH,0,0,0,0
2004 Summer Olympics,BIH,0,0,0,0
2006 Winter Olympics,BIH,0,0,0,0
2008 Summer Olympics,BIH,0,0,0,0
2010 Winter Olympics,BIH,0,0,0,0
2012 Summer Olympics,BIH,0,0,0,0
2014 Winter Olympics,BIH,0,0,0,0
2016 Summer Olympics,BIH,0,0,0,0
2018 Winter Olympics,BIH,0,0,0,0
2020 Summer Olympics,BIH,0,0,0,0
2022 Winter Olympics,BIH,0,0,0,0
1976 Summer Olympics,AND,0,0,0,0
1976 Winter Olympics,AND,0,0,0,0
1980 Summer Olympics,AND,0,0,0,0
1980 Winter Olympics,AND,0,0,0,0
1984 Summer Olympics,AND,0,0,0,0
1984 Winter Olympics,AND,0,0,0,0
1988 Summer Olympics,AND,0,0,0,0
1988 Winter Olympics,AND,0,0,0,0
1992 Summer Olympics,AND,0,0,0,0
1992 Winter Olympics,AND,0,0,0,0
1994 Winter Olympics,AND,0,0,0,0
1996 Summer Olympics,AND,0,0,0,0
1998 Winter Olympics,AND,0,0,0,0
2000 Summer Olympics,AND,0,0,0,0
2002 Winter Olympics,AND,0,0,0,0
2004 Summer Olympics,AND,0,0,0,0
2006 Winter Olympics,AND,0,0,0,0
2008 Summer Olympics,AND,0,0,0,0
2010 Winter Olympics,AND,0,0,0,0
2012 Summer Olympics,AND,0,0,0,0
2014 Winter Olympics,AND,0,0,0,0
2016 Summer Olympics,AND,0,0,0,0
2018 Winter Olympics,AND,0,0,0,0
2020 Summer Olympics,AND,0,0,0,0
2022 Winter Olympics,AND,0,0,0,0
1956 Equestrian Olympics,CAM,0,0,0,0
1964 Summer Olympics,CAM,0,0,0,0
1972 Summer Olympics,CAM,0,0,0,0
1996 Summer Olympics,CAM,0,0,0,0
2000 Summer Olympics,CAM,0,0,0,0
2004 Summer Olympics,CAM,0,0,0,0
2008 Summer Olympics,CAM,0,0,0,0
2012 Summer Olympics,CAM,0,0,0,0
2016 Summer Olympics,CAM,0,0,0,0
2020 Summer Olympics,CAM,0,0,0,0
1906  Intercalated Games,CRT,0,0,0,0
1936 Summer Olympics,BOL,0,0,0,0
1956 Winter Olympics,BOL,0,0,0,0
1964 Summer Olympics,BOL,0,0,0,0
1968 Summer Olympics,BOL,0,0,0,0
1972 Summer Olympics,BOL,0,0,0,0
1976 Summer Olympics,BOL,0,0,0,0
1980 Winter Olympics,BOL,0,0,0,0
1984 Summer Olympics,BOL,0,0,0,0
1984 Winter Olympics,BOL,0,0,0,0
1988 Summer Olympics,BOL,0,0,0,0
1988 Winter Olympics,BOL,0,0,0,0
1992 Summer Olympics,BOL,0,0,0,0
1992 Winter Olympics,BOL,0,0,0,0
1996 Summer Olympics,BOL,0,0,0,0
2000 Summer Olympics,BOL,0,0,0,0
2004 Summer Olympics,BOL,0,0,0,0
2008 Summer Olympics,BOL,0,0,0,0
2012 Summer Olympics,BOL,0,0,0,0
2016 Summer Olympics,BOL,0,0,0,0
2018 Winter Olympics,BOL,0,0,0,0
2020 Summer Olympics,BOL,0,0,0,0
2022 Winter Olympics,BOL,0,0,0,0
1936 Summer Olympics,BER,0,0,0,0
1948 Summer Olympics,BER,0,0,0,0
1952 Summer Olympics,BER,0,0,0,0
1956 Summer Olympics,BER,0,0,0,0
1960 Summer Olympics,BER,0,0,0,0
1964 Summer Olympics,BER,0,0,0,0
1968 Summer Olympics,BER,0,0,0,0
1972 Summer Olympics,BER,0,0,0,0
1976 Summer Olympics,BER,0,0,1,1
1984 Summer Olympics,BER,0,0,0,0
1988 Summer Olympics,BER,0,0,0,0
1992 Summer Olympics,BER,0,0,0,0
1992 Winter Olympics,BER,0,0,0,0
1994 Winter Olympics,BER,0,0,0,0
1996 Summer Olympics,BER,0,0,0,0
1998 Winter Olympics,BER,0,0,0,0
2000 Summer Olympics,BER,0,0,0,0
2002 Winter Olympics,BER,0,0,0,0
2004 Summer Olympics,BER,0,0,0,0
2008 Summer Olympics,BER,0,0,0,0
2010 Winter Olympics,BER,0,0,0,0
2012 Summer Olympics,BER,0,0,0,0
2014 Winter Olympics,BER,0,0,0,0
2016 Summer Olympics,BER,0,0,0,0
2018 Winter Olympics,BER,0,0,0,0
2020 Summer Olympics,BER,1,0,0,1
1964 Summer Olympics,ALG,0,0,0,0
1968 Summer Olympics,ALG,0,0,0,0
1972 Summer Olympics,ALG,0,0,0,0
1980 Summer Olympics,ALG,0,0,0,0
1984 Summer Olympics,ALG,0,0,2,2
1988 Summer Olympics,ALG,0,0,0,0
1992 Summer Olympics,ALG,1,0,1,2
1992 Winter Olympics,ALG,0,0,0,0
1996 Summer Olympics,ALG,2,0,1,3
2000 Summer Olympics,ALG,1,1,3,5
2004 Summer Olympics,ALG,0,0,0,0
2006 Winter Olympics,ALG,0,0,0,0
2008 Summer Olympics,ALG,0,1,1,2
2010 Winter Olympics,ALG,0,0,0,0
2012 Summer Olympics,ALG,1,0,0,1
2016 Summer Olympics,ALG,0,2,0,2
2020 Summer Olympics,ALG,0,0,0,0
1996 Summer Olympics,COM,0,0,0,0
2000 Summer Olympics,COM,0,0,0,0
2004 Summer Olympics,COM,0,0,0,0
2008 Summer Olympics,COM,0,0,0,0
2012 Summer Olympics,COM,0,0,0,0
2016 Summer Olympics,COM,0,0,0,0
2020 Summer Olympics,COM,0,0,0,0
1976 Summer Olympics,CAY,0,0,0,0
1984 Summer Olympics,CAY,0,0,0,0
1988 Summer Olympics,CAY,0,0,0,0
1992 Summer Olympics,CAY,0,0,0,0
1996 Summer Olympics,CAY,0,0,0,0
2000 Summer Olympics,CAY,0,0,0,0
2004 Summer Olympics,CAY,0,0,0,0
2008 Summer Olympics,CAY,0,0,0,0
2010 Winter Olympics,CAY,0,0,0,0
2012 Summer Olympics,CAY,0,0,0,0
2014 Winter Olympics,CAY,0,0,0,0
2016 Summer Olympics,CAY,0,0,0,0
2020 Summer Olympics,CAY,0,0,0,0
1968 Summer Olympics,CAF,0,0,0,0
1984 Summer Olympics,CAF,0,0,0,0
1988 Summer Olympics,CAF,0,0,0,0
1992 Summer Olympics,CAF,0,0,0,0
