edition,country_noc,gold,silver,bronze,total
2020 Summer Olympics,ESA,0,0,0,0
1932 Summer Olympics,COL,0,0,0,0
1936 Summer Olympics,COL,0,0,0,0
1948 Summer Olympics,COL,0,0,0,0
1956 Summer Olympics,COL,0,0,0,0
1960 Summer Olympics,COL,0,0,0,0
1964 Summer Olympics,COL,0,0,0,0
1968 Summer Olympics,COL,0,0,0,0
1972 Summer Olympics,COL,0,1,2,3
1976 Summer Olympics,COL,0,0,0,0
1980 Summer Olympics,COL,0,0,0,0
1984 Summer Olympics,COL,0,1,0,1
1988 Summer Olympics,COL,0,0,1,1
1992 Summer Olympics,COL,0,0,1,1
1996 Summer Olympics,COL,0,0,0,0
2000 Summer Olympics,COL,1,0,0,1
2004 Summer Olympics,COL,0,0,2,2
2008 Summer Olympics,COL,0,2,1,3
2010 Winter Olympics,COL,0,0,0,0
2012 Summer Olympics,COL,1,3,5,9
2016 Summer Olympics,COL,3,2,3,8
2018 Winter Olympics,COL,0,0,0,0
2020 Summer Olympics,COL,0,4,1,5
2022 Winter Olympics,COL,0,0,0,0
1924 Summer Olympics,ECU,0,0,0,0
1968 Summer Olympics,ECU,0,0,0,0
1972 Summer Olympics,ECU,0,0,0,0
1976 Summer Olympics,ECU,0,0,0,0
1980 Summer Olympics,ECU,0,0,0,0
1984 Summer Olympics,ECU,0,0,0,0
1988 Summer Olympics,ECU,0,0,0,0
1992 Summer Olympics,ECU,0,0,0,0
1996 Summer Olympics,ECU,1,0,0,1
2000 Summer Olympics,ECU,0,0,0,0
2004 Summer Olympics,ECU,0,0,0,0
2008 Summer Olympics,ECU,0,1,0,1
2012 Summer Olympics,ECU,0,0,0,0
2016 Summer Olympics,ECU,0,0,0,0
2018 Winter Olympics,ECU,0,0,0,0
2020 Summer Olympics,ECU,2,1,0,3
2022 Winter Olympics,ECU,0,0,0,0
2000 Summer Olympics,FSM,0,0,0,0
2004 Summer Olympics,FSM,0,0,0,0
2008 Summer Olympics,FSM,0,0,0,0
2012 Summer Olympics,FSM,0,0,0,0
2016 Summer Olympics,FSM,0,0,0,0
2020 Summer Olympics,FSM,0,0,0,0
1956 Summer Olympics,TPE,0,0,0,0
1960 Summer Olympics,TPE,0,1,0,1
1964 Summer Olympics,TPE,0,0,0,0
1968 Summer Olympics,TPE,0,0,1,1
1972 Summer Olympics,TPE,0,0,0,0
1972 Winter Olympics,TPE,0,0,0,0
1976 Winter Olympics,TPE,0,0,0,0
1984 Summer Olympics,TPE,0,0,1,1
1984 Winter Olympics,TPE,0,0,0,0
1988 Summer Olympics,TPE,0,0,0,0
1988 Winter Olympics,TPE,0,0,0,0
1992 Summer Olympics,TPE,0,1,0,1
1992 Winter Olympics,TPE,0,0,0,0
1994 Winter Olympics,TPE,0,0,0,0
1996 Summer Olympics,TPE,0,1,0,1
1998 Winter Olympics,TPE,0,0,0,0
2000 Summer Olympics,TPE,0,1,4,5
2002 Winter Olympics,TPE,0,0,0,0
2004 Summer Olympics,TPE,2,2,1,5
2006 Winter Olympics,TPE,0,0,0,0
2008 Summer Olympics,TPE,1,1,2,4
2010 Winter Olympics,TPE,0,0,0,0
2012 Summer Olympics,TPE,1,0,1,2
2014 Winter Olympics,TPE,0,0,0,0
2016 Summer Olympics,TPE,1,0,2,3
2018 Winter Olympics,TPE,0,0,0,0
2020 Summer Olympics,TPE,2,4,6,12
2022 Winter Olympics,TPE,0,0,0,0
1972 Summer Olympics,SWZ,0,0,0,0
1984 Summer Olympics,SWZ,0,0,0,0
1988 Summer Olympics,SWZ,0,0,0,0
1992 Summer Olympics,SWZ,0,0,0,0
1992 Winter Olympics,SWZ,0,0,0,0
1996 Summer Olympics,SWZ,0,0,0,0
2000 Summer Olympics,SWZ,0,0,0,0
2004 Summer Olympics,SWZ,0,0,0,0
2008 Summer Olympics,SWZ,0,0,0,0
2012 Summer Olympics,SWZ,0,0,0,0
2016 Summer Olympics,SWZ,0,0,0,0
2020 Summer Olympics,SWZ,0,0,0,0
1972 Summer Olympics,GAB,0,0,0,0
1984 Summer Olympics,GAB,0,0,0,0
1988 Summer Olympics,GAB,0,0,0,0
1992 Summer Olympics,GAB,0,0,0,0
1996 Summer Olympics,GAB,0,0,0,0
2000 Summer Olympics,GAB,0,0,0,0
2004 Summer Olympics,GAB,0,0,0,0
2008 Summer Olympics,GAB,0,0,0,0
2012 Summer Olympics,GAB,0,1,0,1
2016 Summer Olympics,GAB,0,0,0,0
2020 Summer Olympics,GAB,0,0,0,0
1994 Winter Olympics,CZE,0,0,0,0
1996 Summer Olympics,CZE,4,3,4,11
1998 Winter Olympics,CZE,1,1,1,3
2000 Summer Olympics,CZE,2,3,3,8
2002 Winter Olympics,CZE,1,2,0,3
2004 Summer Olympics,CZE,1,3,5,9
2006 Winter Olympics,CZE,1,2,1,4
2008 Summer Olympics,CZE,3,3,1,7
2010 Winter Olympics,CZE,2,0,4,6
2012 Summer Olympics,CZE,4,3,4,11
2014 Winter Olympics,CZE,2,4,3,9
2016 Summer Olympics,CZE,1,2,7,10
2018 Winter Olympics,CZE,2,2,3,7
2020 Summer Olympics,CZE,4,4,3,11
2022 Winter Olympics,CZE,1,0,1,2
1912 Summer Olympics,CHI,0,0,0,0
1920 Summer Olympics,CHI,0,0,0,0
1924 Summer Olympics,CHI,0,0,0,0
1928 Summer Olympics,CHI,0,1,0,1
1936 Summer Olympics,CHI,0,0,0,0
1948 Summer Olympics,CHI,0,0,0,0
1948 Winter Olympics,CHI,0,0,0,0
1952 Summer Olympics,CHI,0,2,0,2
1952 Winter Olympics,CHI,0,0,0,0
1956 Summer Olympics,CHI,0,2,2,4
1956 Winter Olympics,CHI,0,0,0,0
1960 Summer Olympics,CHI,0,0,0,0
1960 Winter Olympics,CHI,0,0,0,0
1964 Summer Olympics,CHI,0,0,0,0
1964 Winter Olympics,CHI,0,0,0,0
1968 Summer Olympics,CHI,0,0,0,0
1968 Winter Olympics,CHI,0,0,0,0
1972 Summer Olympics,CHI,0,0,0,0
1976 Summer Olympics,CHI,0,0,0,0
1976 Winter Olympics,CHI,0,0,0,0
1984 Summer Olympics,CHI,0,0,0,0
1984 Winter Olympics,CHI,0,0,0,0
1988 Summer Olympics,CHI,0,1,0,1
1988 Winter Olympics,CHI,0,0,0,0
1992 Summer Olympics,CHI,0,0,0,0
1992 Winter Olympics,CHI,0,0,0,0
1994 Winter Olympics,CHI,0,0,0,0
1996 Summer Olympics,CHI,0,0,0,0
1998 Winter Olympics,CHI,0,0,0,0
2000 Summer Olympics,CHI,0,0,1,1
2002 Winter Olympics,CHI,0,0,0,0
2004 Summer Olympics,CHI,2,0,1,3
2006 Winter Olympics,CHI,0,0,0,0
2008 Summer Olympics,CHI,0,1,0,1
2010 Winter Olympics,CHI,0,0,0,0
2012 Summer Olympics,CHI,0,0,0,0
2014 Winter Olympics,CHI,0,0,0,0
2016 Summer Olympics,CHI,0,0,0,0
2018 Winter Olympics,CHI,0,0,0,0
2020 Summer Olympics,CHI,0,0,0,0
2022 Winter Olympics,CHI,0,0,0,0
1956 Summer Olympics,ETH,0,0,0,0
1960 Summer Olympics,ETH,1,0,0,1
1964 Summer Olympics,ETH,1,0,0,1
1968 Summer Olympics,ETH,1,1,0,2
1972 Summer Olympics,ETH,0,0,2,2
1980 Summer Olympics,ETH,2,0,2,4
1992 Summer Olympics,ETH,1,0,2,3
1996 Summer Olympics,ETH,2,0,1,3
2000 Summer Olympics,ETH,4,1,3,8
2004 Summer Olympics,ETH,2,3,2,7
2006 Winter Olympics,ETH,0,0,0,0
2008 Summer Olympics,ETH,4,2,1,7
2010 Winter Olympics,ETH,0,0,0,0
2012 Summer Olympics,ETH,3,2,3,8
2016 Summer Olympics,ETH,1,2,5,8
2020 Summer Olympics,ETH,1,1,2,4
1900 Summer Olympics,CUB,1,1,0,2
1904 Summer Olympics,CUB,4,0,0,4
1924 Summer Olympics,CUB,0,0,0,0
1928 Summer Olympics,CUB,0,0,0,0
1932 Summer Olympics,CUB,0,0,0,0
1948 Summer Olympics,CUB,0,1,0,1
1952 Summer Olympics,CUB,0,0,0,0
1956 Summer Olympics,CUB,0,0,0,0
1960 Summer Olympics,CUB,0,0,0,0
1964 Summer Olympics,CUB,0,1,0,1
1968 Summer Olympics,CUB,0,4,0,4
1972 Summer Olympics,CUB,3,1,4,8
1976 Summer Olympics,CUB,6,4,3,13
1980 Summer Olympics,CUB,8,7,5,20
1992 Summer Olympics,CUB,14,6,11,31
1996 Summer Olympics,CUB,9,8,8,25
2000 Summer Olympics,CUB,11,11,7,29
2004 Summer Olympics,CUB,9,7,11,27
2008 Summer Olympics,CUB,3,10,17,30
2012 Summer Olympics,CUB,5,3,7,15
2016 Summer Olympics,CUB,5,2,4,11
2020 Summer Olympics,CUB,7,3,5,15
1956 Summer Olympics,FIJ,0,0,0,0
1960 Summer Olympics,FIJ,0,0,0,0
1968 Summer Olympics,FIJ,0,0,0,0
1972 Summer Olympics,FIJ,0,0,0,0
1976 Summer Olympics,FIJ,0,0,0,0
1984 Summer Olympics,FIJ,0,0,0,0
1988 Summer Olympics,FIJ,0,0,0,0
1988 Winter Olympics,FIJ,0,0,0,0
1992 Summer Olympics,FIJ,0,0,0,0
1994 Winter Olympics,FIJ,0,0,0,0
1996 Summer Olympics,FIJ,0,0,0,0
2000 Summer Olympics,FIJ,0,0,0,0
2002 Winter Olympics,FIJ,0,0,0,0
2004 Summer Olympics,FIJ,0,0,0,0
2008 Summer Olympics,FIJ,0,0,0,0
2012 Summer Olympics,FIJ,0,0,0,0
2016 Summer Olympics,FIJ,1,0,0,1
2020 Summer Olympics,FIJ,1,0,1,2
1994 Winter Olympics,GEO,0,0,0,0
1996 Summer Olympics,GEO,0,0,2,2
1998 Winter Olympics,GEO,0,0,0,0
2000 Summer Olympics,GEO,0,0,6,6
2002 Winter Olympics,GEO,0,0,0,0
2004 Summer Olympics,GEO,2,2,0,4
2006 Winter Olympics,GEO,0,0,0,0
2008 Summer Olympics,GEO,3,2,2,7
2010 Winter Olympics,GEO,0,0,0,0
2012 Summer Olympics,GEO,1,2,3,6
2014 Winter Olympics,GEO,0,0,0,0
2016 Summer Olympics,GEO,2,1,4,7
2018 Winter Olympics,GEO,0,0,0,0
2020 Summer Olympics,GEO,2,5,1,8
2022 Winter Olympics,GEO,0,0,0,0
1984 Summer Olympics,GRN,0,0,0,0
1988 Summer Olympics,GRN,0,0,0,0
1992 Summer Olympics,GRN,0,0,0,0
1996 Summer Olympics,GRN,0,0,0,0
2000 Summer Olympics,GRN,0,0,0,0
2004 Summer Olympics,GRN,0,0,0,0
2008 Summer Olympics,GRN,0,0,0,0
2012 Summer Olympics,GRN,1,0,0,1
2016 Summer Olympics,GRN,0,1,0,1
2020 Summer Olympics,GRN,0,0,1,1
1968 Summer Olympics,GDR,9,9,7,25
1968 Winter Olympics,GDR,1,2,2,5
1972 Summer Olympics,GDR,20,23,23,66
1972 Winter Olympics,GDR,4,3,7,14
1976 Summer Olympics,GDR,40,25,25,90
1976 Winter Olympics,GDR,7,5,7,19
1980 Summer Olympics,GDR,47,37,42,126
1980 Winter Olympics,GDR,9,7,7,23
1984 Winter Olympics,GDR,9,9,6,24
1988 Summer Olympics,GDR,37,35,30,102
1988 Winter Olympics,GDR,9,10,6,25
1988 Summer Olympics,GUM,0,0,0,0
1988 Winter Olympics,GUM,0,0,0,0
1992 Summer Olympics,GUM,0,0,0,0
1996 Summer Olympics,GUM,0,0,0,0
2000 Summer Olympics,GUM,0,0,0,0
2004 Summer Olympics,GUM,0,0,0,0
2008 Summer Olympics,GUM,0,0,0,0
2012 Summer Olympics,GUM,0,0,0,0
2016 Summer Olympics,GUM,0,0,0,0
2020 Summer Olympics,GUM,0,0,0,0
1996 Summer Olympics,GBS,0,0,0,0
2000 Summer Olympics,GBS,0,0,0,0
2004 Summer Olympics,GBS,0,0,0,0
2008 Summer Olympics,GBS,0,0,0,0
2012 Summer Olympics,GBS,0,0,0,0
2016 Summer Olympics,GBS,0,0,0,0
2020 Summer Olympics,GBS,0,0,0,0
1920 Summer Olympics,EGY,0,0,0,0
1924 Summer Olympics,EGY,0,0,0,0
1928 Summer Olympics,EGY,2,1,1,4
1936 Summer Olympics,EGY,2,1,2,5
1948 Summer Olympics,EGY,2,2,1,5
1952 Summer Olympics,EGY,0,0,1,1
1956 Equestrian Olympics,EGY,0,0,0,0
1964 Summer Olympics,EGY,0,0,0,0
1968 Summer Olympics,EGY,0,0,0,0
1972 Summer Olympics,EGY,0,0,0,0
1976 Summer Olympics,EGY,0,0,0,0
1984 Summer Olympics,EGY,0,1,0,1
1984 Winter Olympics,EGY,0,0,0,0
1988 Summer Olympics,EGY,0,0,0,0
1992 Summer Olympics,EGY,0,0,0,0
1996 Summer Olympics,EGY,0,0,0,0
2000 Summer Olympics,EGY,0,0,0,0
2004 Summer Olympics,EGY,1,1,3,5
2008 Summer Olympics,EGY,0,0,2,2
2012 Summer Olympics,EGY,0,3,1,4
2016 Summer Olympics,EGY,0,0,3,3
2020 Summer Olympics,EGY,1,1,4,6
1952 Summer Olympics,GHA,0,0,0,0
1960 Summer Olympics,GHA,0,1,0,1
1964 Summer Olympics,GHA,0,0,1,1
1968 Summer Olympics,GHA,0,0,0,0
1972 Summer Olympics,GHA,0,0,1,1
1984 Summer Olympics,GHA,0,0,0,0
1988 Summer Olympics,GHA,0,0,0,0
1992 Summer Olympics,GHA,0,0,1,1
1996 Summer Olympics,GHA,0,0,0,0
2000 Summer Olympics,GHA,0,0,0,0
2004 Summer Olympics,GHA,0,0,0,0
2008 Summer Olympics,GHA,0,0,0,0
2010 Winter Olympics,GHA,0,0,0,0
2012 Summer Olympics,GHA,0,0,0,0
2016 Summer Olympics,GHA,0,0,0,0
2018 Winter Olympics,GHA,0,0,0,0
2020 Summer Olympics,GHA,0,0,1,1
2022 Winter Olympics,GHA,0,0,0,0
1900 Summer Olympics,ARG,0,0,0,0
1908 Summer Olympics,ARG,0,0,0,0
1920 Summer Olympics,ARG,0,0,0,0
1924 Summer Olympics,ARG,1,3,2,6
1928 Summer Olympics,ARG,3,3,1,7
1928 Winter Olympics,ARG,0,0,0,0
1932 Summer Olympics,ARG,3,1,0,4
1936 Summer Olympics,ARG,2,2,3,7
1948 Summer Olympics,ARG,3,3,1,7
1948 Winter Olympics,ARG,0,0,0,0
1952 Summer Olympics,ARG,1,2,2,5
1952 Winter Olympics,ARG,0,0,0,0
1956 Summer Olympics,ARG,0,1,1,2
1956 Equestrian Olympics,ARG,0,0,0,0
1960 Summer Olympics,ARG,0,1,1,2
1960 Winter Olympics,ARG,0,0,0,0
1964 Summer Olympics,ARG,0,1,0,1
1964 Winter Olympics,ARG,0,0,0,0
1968 Summer Olympics,ARG,0,0,2,2
1968 Winter Olympics,ARG,0,0,0,0
1972 Summer Olympics,ARG,0,1,0,1
1972 Winter Olympics,ARG,0,0,0,0
1976 Summer Olympics,ARG,0,0,0,0
1976 Winter Olympics,ARG,0,0,0,0
1980 Winter Olympics,ARG,0,0,0,0
1984 Summer Olympics,ARG,0,0,0,0
1984 Winter Olympics,ARG,0,0,0,0
1988 Summer Olympics,ARG,0,1,1,2
1988 Winter Olympics,ARG,0,0,0,0
1992 Summer Olympics,ARG,0,0,1,1
1992 Winter Olympics,ARG,0,0,0,0
1994 Winter Olympics,ARG,0,0,0,0
1996 Summer Olympics,ARG,0,2,1,3
1998 Winter Olympics,ARG,0,0,0,0
2000 Summer Olympics,ARG,0,2,2,4
2002 Winter Olympics,ARG,0,0,0,0
2004 Summer Olympics,ARG,2,0,4,6
2006 Winter Olympics,ARG,0,0,0,0
2008 Summer Olympics,ARG,2,0,4,6
2010 Winter Olympics,ARG,0,0,0,0
2012 Summer Olympics,ARG,1,1,2,4
2014 Winter Olympics,ARG,0,0,0,0
2016 Summer Olympics,ARG,3,1,0,4
2018 Winter Olympics,ARG,0,0,0,0
2020 Summer Olympics,ARG,0,1,2,3
2022 Winter Olympics,ARG,0,0,0,0
1920 Summer Olympics,EST,1,2,0,3
1924 Summer Olympics,EST,1,1,4,6
1928 Summer Olympics,EST,2,1,2,5
1928 Winter Olympics,EST,0,0,0,0
1932 Summer Olympics,EST,0,0,0,0
1936 Summer Olympics,EST,2,2,3,7
1936 Winter Olympics,EST,0,0,0,0
1992 Summer Olympics,EST,1,0,1,2
1992 Winter Olympics,EST,0,0,0,0
1994 Winter Olympics,EST,0,0,0,0
1996 Summer Olympics,EST,0,0,0,0
1998 Winter Olympics,EST,0,0,0,0
2000 Summer Olympics,EST,1,0,2,3
2002 Winter Olympics,EST,1,1,1,3
2004 Summer Olympics,EST,0,1,2,3
2006 Winter Olympics,EST,3,0,0,3
2008 Summer Olympics,EST,1,1,0,2
2010 Winter Olympics,EST,0,1,0,1
2012 Summer Olympics,EST,0,1,1,2
2014 Winter Olympics,EST,0,0,0,0
2016 Summer Olympics,EST,0,0,1,1
2018 Winter Olympics,EST,0,0,0,0
2020 Summer Olympics,EST,1,0,1,2
2022 Winter Olympics,EST,0,0,1,1
1968 Summer Olympics,GUI,0,0,0,0
1980 Summer Olympics,GUI,0,0,0,0
1984 Summer Olympics,GUI,0,0,0,0
1988 Summer Olympics,GUI,0,0,0,0
1992 Summer Olympics,GUI,0,0,0,0
1996 Summer Olympics,GUI,0,0,0,0
2000 Summer Olympics,GUI,0,0,0,0
2004 Summer Olympics,GUI,0,0,0,0
2008 Summer Olympics,GUI,0,0,0,0
2012 Summer Olympics,GUI,0,0,0,0
2016 Summer Olympics,GUI,0,0,0,0
2020 Summer Olympics,GUI,0,0,0,0
1896 Summer Olympics,BUL,0,0,0,0
1924 Summer Olympics,BUL,0,0,0,0
1928 Summer Olympics,BUL,0,0,0,0
1932 Summer Olympics,BUL,0,0,0,0
1936 Summer Olympics,BUL,0,0,0,0
1936 Winter Olympics,BUL,0,0,0,0
1948 Winter Olympics,BUL,0,0,0,0
1952 Summer Olympics,BUL,0,0,1,1
1952 Winter Olympics,BUL,0,0,0,0
1956 Summer Olympics,BUL,1,3,1,5
1956 Winter Olympics,BUL,0,0,0,0
1956 Equestrian Olympics,BUL,0,0,0,0
1960 Summer Olympics,BUL,1,3,3,7
1960 Winter Olympics,BUL,0,0,0,0
1964 Summer Olympics,BUL,3,5,2,10
1964 Winter Olympics,BUL,0,0,0,0
1968 Summer Olympics,BUL,2,4,3,9
1968 Winter Olympics,BUL,0,0,0,0
1972 Summer Olympics,BUL,6,10,5,21
1972 Winter Olympics,BUL,0,0,0,0
1976 Summer Olympics,BUL,6,9,7,22
1976 Winter Olympics,BUL,0,0,0,0
1980 Summer Olympics,BUL,8,16,17,41
1980 Winter Olympics,BUL,0,0,1,1
1984 Winter Olympics,BUL,0,0,0,0
1988 Summer Olympics,BUL,10,12,13,35
1988 Winter Olympics,BUL,0,0,0,0
1992 Summer Olympics,BUL,3,7,6,16
1992 Winter Olympics,BUL,0,0,0,0
1994 Winter Olympics,BUL,0,0,0,0
1996 Summer Olympics,BUL,3,7,5,15
1998 Winter Olympics,BUL,1,0,0,1
2000 Summer Olympics,BUL,5,6,2,13
2002 Winter Olympics,BUL,0,1,2,3
2004 Summer Olympics,BUL,2,1,9,12
2006 Winter Olympics,BUL,0,1,0,1
2008 Summer Olympics,BUL,1,1,3,5
2010 Winter Olympics,BUL,0,0,0,0
2012 Summer Olympics,BUL,0,2,1,3
2014 Winter Olympics,BUL,0,0,0,0
2016 Summer Olympics,BUL,0,1,2,3
2018 Winter Olympics,BUL,0,0,0,0
2020 Summer Olympics,BUL,3,1,2,6
2022 Winter Olympics,BUL,0,0,0,0
1992 Summer Olympics,IOA,0,1,2,3
2000 Summer Olympics,IOA,0,0,0,0
2012 Summer Olympics,IOA,0,0,0,0
2014 Winter Olympics,IOA,0,0,0,0
2016 Summer Olympics,IOA,1,0,1,2
1932 Summer Olympics,GUA,0,0,0,0
1952 Summer Olympics,GUA,0,0,0,0
1968 Summer Olympics,GUA,0,0,0,0
1972 Summer Olympics,GUA,0,0,0,0
1976 Summer Olympics,GUA,0,0,0,0
1980 Summer Olympics,GUA,0,0,0,0
1984 Summer Olympics,GUA,0,0,0,0
1988 Summer Olympics,GUA,0,0,0,0
1988 Winter Olympics,GUA,0,0,0,0
1992 Summer Olympics,GUA,0,0,0,0
1996 Summer Olympics,GUA,0,0,0,0
2000 Summer Olympics,GUA,0,0,0,0
2004 Summer Olympics,GUA,0,0,0,0
2008 Summer Olympics,GUA,0,0,0,0
2012 Summer Olympics,GUA,0,1,0,1
2016 Summer Olympics,GUA,0,0,0,0
2020 Summer Olympics,GUA,0,0,0,0
1948 Summer Olympics,GUY,0,0,0,0
1952 Summer Olympics,GUY,0,0,0,0
1956 Summer Olympics,GUY,0,0,0,0
1960 Summer Olympics,GUY,0,0,0,0
1964 Summer Olympics,GUY,0,0,0,0
1968 Summer Olympics,GUY,0,0,0,0
1972 Summer Olympics,GUY,0,0,0,0
1980 Summer Olympics,GUY,0,0,1,1
1984 Summer Olympics,GUY,0,0,0,0
1988 Summer Olympics,GUY,0,0,0,0
1992 Summer Olympics,GUY,0,0,0,0
1996 Summer Olympics,GUY,0,0,0,0
2000 Summer Olympics,GUY,0,0,0,0
2004 Summer Olympics,GUY,0,0,0,0
2008 Summer Olympics,GUY,0,0,0,0
2012 Summer Olympics,GUY,0,0,0,0
2016 Summer Olympics,GUY,0,0,0,0
2020 Summer Olympics,GUY,0,0,0,0
1900 Summer Olympics,HAI,0,0,0,0
1924 Summer Olympics,HAI,0,0,1,1
1928 Summer Olympics,HAI,0,1,0,1
1932 Summer Olympics,HAI,0,0,0,0
1960 Summer Olympics,HAI,0,0,0,0
1972 Summer Olympics,HAI,0,0,0,0
1976 Summer Olympics,HAI,0,0,0,0
1984 Summer Olympics,HAI,0,0,0,0
1988 Summer Olympics,HAI,0,0,0,0
1992 Summer Olympics,HAI,0,0,0,0
1996 Summer Olympics,HAI,0,0,0,0
2000 Summer Olympics,HAI,0,0,0,0
2004 Summer Olympics,HAI,0,0,0,0
2008 Summer Olympics,HAI,0,0,0,0
2012 Summer Olympics,HAI,0,0,0,0
2016 Summer Olympics,HAI,0,0,0,0
2020 Summer Olympics,HAI,0,0,0,0
2022 Winter Olympics,HAI,0,0,0,0
1968 Summer Olympics,HON,0,0,0,0
1976 Summer Olympics,HON,0,0,0,0
1984 Summer Olympics,HON,0,0,0,0
1988 Summer Olympics,HON,0,0,0,0
1992 Summer Olympics,HON,0,0,0,0
1992 Winter Olympics,HON,0,0,0,0
1996 Summer Olympics,HON,0,0,0,0
2000 Summer Olympics,HON,0,0,0,0
2004 Summer Olympics,HON,0,0,0,0
2008 Summer Olympics,HON,0,0,0,0
2012 Summer Olympics,HON,0,0,0,0
2016 Summer Olympics,HON,0,0,0,0
2020 Summer Olympics,HON,0,0,0,0
1920 Summer Olympics,BRA,1,1,1,3
1924 Summer Olympics,BRA,0,0,0,0
1932 Summer Olympics,BRA,0,0,0,0
1936 Summer Olympics,BRA,0,0,0,0
1948 Summer Olympics,BRA,0,0,1,1
1952 Summer Olympics,BRA,1,0,2,3
1956 Summer Olympics,BRA,1,0,0,1
1956 Equestrian Olympics,BRA,0,0,0,0
1960 Summer Olympics,BRA,0,0,2,2
1964 Summer Olympics,BRA,0,0,1,1
1968 Summer Olympics,BRA,0,1,2,3
1972 Summer Olympics,BRA,0,0,2,2
1976 Summer Olympics,BRA,0,0,2,2
1980 Summer Olympics,BRA,2,0,2,4
1984 Summer Olympics,BRA,1,5,2,8
1988 Summer Olympics,BRA,1,2,3,6
1992 Summer Olympics,BRA,2,1,0,3
1992 Winter Olympics,BRA,0,0,0,0
1994 Winter Olympics,BRA,0,0,0,0
1996 Summer Olympics,BRA,3,3,9,15
1998 Winter Olympics,BRA,0,0,0,0
2000 Summer Olympics,BRA,0,6,6,12
2002 Winter Olympics,BRA,0,0,0,0
2004 Summer Olympics,BRA,5,2,3,10
2006 Winter Olympics,BRA,0,0,0,0
2008 Summer Olympics,BRA,3,4,10,17
2010 Winter Olympics,BRA,0,0,0,0
2012 Summer Olympics,BRA,3,5,9,17
2014 Winter Olympics,BRA,0,0,0,0
2016 Summer Olympics,BRA,7,6,6,19
2018 Winter Olympics,BRA,0,0,0,0
2020 Summer Olympics,BRA,7,6,8,21
2022 Winter Olympics,BRA,0,0,0,0
1900 Summer Olympics,BEL,6,7,5,18
1908 Summer Olympics,BEL,1,5,2,8
1912 Summer Olympics,BEL,2,1,3,6
1920 Summer Olympics,BEL,16,12,14,42
1924 Summer Olympics,BEL,3,7,3,13
1924 Winter Olympics,BEL,0,0,1,1
1928 Summer Olympics,BEL,0,1,2,3
1928 Winter Olympics,BEL,0,0,1,1
1932 Summer Olympics,BEL,0,0,1,1
1932 Winter Olympics,BEL,0,0,0,0
1936 Summer Olympics,BEL,0,0,3,3
1936 Winter Olympics,BEL,0,0,0,0
1948 Summer Olympics,BEL,2,2,3,7
1948 Winter Olympics,BEL,1,1,0,2
1952 Summer Olympics,BEL,2,2,0,4
1952 Winter Olympics,BEL,0,0,0,0
1956 Summer Olympics,BEL,0,2,0,2
1956 Winter Olympics,BEL,0,0,0,0
1956 Equestrian Olympics,BEL,0,0,0,0
1960 Summer Olympics,BEL,0,2,2,4
1964 Summer Olympics,BEL,2,0,1,3
1964 Winter Olympics,BEL,0,0,0,0
1968 Summer Olympics,BEL,0,1,1,2
1972 Summer Olympics,BEL,0,2,0,2
1972 Winter Olympics,BEL,0,0,0,0
1976 Summer Olympics,BEL,0,3,3,6
1976 Winter Olympics,BEL,0,0,0,0
1980 Summer Olympics,BEL,1,0,0,1
1980 Winter Olympics,BEL,0,0,0,0
1984 Summer Olympics,BEL,1,1,2,4
1984 Winter Olympics,BEL,0,0,0,0
1988 Summer Olympics,BEL,0,0,2,2
1988 Winter Olympics,BEL,0,0,0,0
1992 Summer Olympics,BEL,0,1,2,3
1992 Winter Olympics,BEL,0,0,0,0
1994 Winter Olympics,BEL,0,0,0,0
1996 Summer Olympics,BEL,2,2,2,6
1998 Winter Olympics,BEL,0,0,1,1
2000 Summer Olympics,BEL,0,2,3,5
2002 Winter Olympics,BEL,0,0,0,0
2004 Summer Olympics,BEL,1,0,2,3
2006 Winter Olympics,BEL,0,0,0,0
2008 Summer Olympics,BEL,2,0,0,2
2010 Winter Olympics,BEL,0,0,0,0
2012 Summer Olympics,BEL,0,1,2,3
2014 Winter Olympics,BEL,0,0,0,0
2016 Summer Olympics,BEL,2,2,2,6
2018 Winter Olympics,BEL,0,1,0,1
2020 Summer Olympics,BEL,3,1,3,7
2022 Winter Olympics,BEL,1,0,1,2
1948 Summer Olympics,IRQ,0,0,0,0
1960 Summer Olympics,IRQ,0,0,1,1
1964 Summer Olympics,IRQ,0,0,0,0
1968 Summer Olympics,IRQ,0,0,0,0
1980 Summer Olympics,IRQ,0,0,0,0
1984 Summer Olympics,IRQ,0,0,0,0
1988 Summer Olympics,IRQ,0,0,0,0
1992 Summer Olympics,IRQ,0,0,0,0
1996 Summer Olympics,IRQ,0,0,0,0
2000 Summer Olympics,IRQ,0,0,0,0
2004 Summer Olympics,IRQ,0,0,0,0
2008 Summer Olympics,IRQ,0,0,0,0
2012 Summer Olympics,IRQ,0,0,0,0
2016 Summer Olympics,IRQ,0,0,0,0
2020 Summer Olympics,IRQ,0,0,0,0
1920 Summer Olympics,TCH,0,0,2,2
1924 Summer Olympics,TCH,1,4,5,10
1924 Winter Olympics,TCH,0,0,0,0
1928 Summer Olympics,TCH,2,5,2,9
1928 Winter Olympics,TCH,0,0,1,1
1932 Summer Olympics,TCH,1,3,2,6
1932 Winter Olympics,TCH,0,0,0,0
1936 Summer Olympics,TCH,3,5,1,9
1936 Winter Olympics,TCH,0,0,0,0
1948 Summer Olympics,TCH,6,2,3,11
